slug,culture_name,region,status,confidence,eligible_for_linkedin,canonical_source_asset,alternates,git_path,live_url,has_approved_overview,notes
aymara,Aymara,South America,probable-match,medium,False,/cultural_images/aymara_card.webp,/cultural_images/aymara_card.webp,,https://www.culturesherpa.org/explore/cultural_images/aymara_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
azerbaijan,Azerbaijan,Caucasus,ready,high,True,/cultural_images/azerbaijan_card.webp,/cultural_images/azerbaijan_card.webp,website-astro/public/cultural_images/azerbaijan_card.webp,https://www.culturesherpa.org/explore/cultural_images/azerbaijan_card.webp,True,
badaga,Badaga,"Nilgiri Hills, Tamil Nadu, India",probable-match,medium,False,/cultural_images/badaga_card.webp,/cultural_images/badaga_card.webp,,https://www.culturesherpa.org/explore/cultural_images/badaga_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
bahamas,Bahamas,Caribbean,ready,high,True,/cultural_images/bahamas_card.webp,/cultural_images/bahamas_card.webp,website-astro/public/cultural_images/bahamas_card.webp,https://www.culturesherpa.org/explore/cultural_images/bahamas_card.webp,True,
balanta,Balanta,West Africa,ready,high,True,/cultural_images/balanta_card.webp,/cultural_images/balanta_card.webp,website-astro/public/cultural_images/balanta_card.webp,https://www.culturesherpa.org/explore/cultural_images/balanta_card.webp,True,
balinese,Balinese,"Bali, Indonesia",ready,high,True,/cultural_images/balinese_card.webp,/cultural_images/balinese_card.webp,website-astro/public/cultural_images/balinese_card.webp,https://www.culturesherpa.org/explore/cultural_images/balinese_card.webp,True,
balkars,Balkars,"Caucasus, Kabardino-Balkaria, Russia",ready,high,True,/cultural_images/balkars_card.webp,/cultural_images/balkars_card.webp,website-astro/public/cultural_images/balkars_card.webp,https://www.culturesherpa.org/explore/cultural_images/balkars_card.webp,True,
balochs,Balochs,South Asia,ready,high,True,/cultural_images/balochs_card.webp,/cultural_images/balochs_card.webp,website-astro/public/cultural_images/balochs_card.webp,https://www.culturesherpa.org/explore/cultural_images/balochs_card.webp,True,
bamum,Bamum,"Grassfields, Cameroon",ready,high,True,/cultural_images/bamum_card.webp,/cultural_images/bamum_card.webp,website-astro/public/cultural_images/bamum_card.webp,https://www.culturesherpa.org/explore/cultural_images/bamum_card.webp,True,
banda,Banda,Central Africa,ready,high,True,/cultural_images/banda_card.webp,/cultural_images/banda_card.webp,website-astro/public/cultural_images/banda_card.webp,https://www.culturesherpa.org/explore/cultural_images/banda_card.webp,True,
bandanese,Bandanese,"Banda Islands, Indonesia",ready,high,True,/cultural_images/bandanese_card.webp,/cultural_images/bandanese_card.webp,website-astro/public/cultural_images/bandanese_card.webp,https://www.culturesherpa.org/explore/cultural_images/bandanese_card.webp,True,
bangladeshi,Bangladeshi,South Asia,ready,high,True,/cultural_images/bangladeshi_card.webp,/cultural_images/bangladeshi_card.webp,website-astro/public/cultural_images/bangladeshi_card.webp,https://www.culturesherpa.org/explore/cultural_images/bangladeshi_card.webp,True,
bangladeshi_diaspora,Bangladeshi Diaspora,Global,probable-match,medium,False,/cultural_images/bangladeshi_diaspora_card.webp,/cultural_images/bangladeshi_diaspora_card.webp,,https://www.culturesherpa.org/explore/cultural_images/bangladeshi_diaspora_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
bangweulu_twa,Bangweulu Twa,"Bangweulu wetlands, Zambia",ready,high,True,/cultural_images/bangweulu_twa_card.webp,/cultural_images/bangweulu_twa_card.webp,website-astro/public/cultural_images/bangweulu_twa_card.webp,https://www.culturesherpa.org/explore/cultural_images/bangweulu_twa_card.webp,True,
baniwa,Baniwa,Amazon Basin,ready,high,True,/cultural_images/baniwa_card.webp,/cultural_images/baniwa_card.webp,website-astro/public/cultural_images/baniwa_card.webp,https://www.culturesherpa.org/explore/cultural_images/baniwa_card.webp,True,
banjara,Banjara,South Asia,ready,high,True,/cultural_images/banjara_card.webp,/cultural_images/banjara_card.webp,website-astro/public/cultural_images/banjara_card.webp,https://www.culturesherpa.org/explore/cultural_images/banjara_card.webp,True,
banjarese,Banjarese,"South Kalimantan, Indonesia",ready,high,True,/cultural_images/banjarese_card.webp,/cultural_images/banjarese_card.webp,website-astro/public/cultural_images/banjarese_card.webp,https://www.culturesherpa.org/explore/cultural_images/banjarese_card.webp,True,
bari,Bari,South Sudan,ready,high,True,/cultural_images/bari_card.webp,/cultural_images/bari_card.webp,website-astro/public/cultural_images/bari_card.webp,https://www.culturesherpa.org/explore/cultural_images/bari_card.webp,True,
bariba,Bariba,West Africa,ready,high,True,/cultural_images/bariba_card.webp,/cultural_images/bariba_card.webp,website-astro/public/cultural_images/bariba_card.webp,https://www.culturesherpa.org/explore/cultural_images/bariba_card.webp,True,
basque,Basque,Europe,ready,high,True,/cultural_images/basque_card.webp,/cultural_images/basque_card.webp,website-astro/public/cultural_images/basque_card.webp,https://www.culturesherpa.org/explore/cultural_images/basque_card.webp,True,
batak,Batak,"North Sumatra, Indonesia",probable-match,medium,False,/cultural_images/batak_card.webp,/cultural_images/batak_card.webp,,https://www.culturesherpa.org/explore/cultural_images/batak_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
bauzi,Bauzi,"Papua, Indonesia",ready,high,True,/cultural_images/bauzi_card.webp,/cultural_images/bauzi_card.webp,website-astro/public/cultural_images/bauzi_card.webp,https://www.culturesherpa.org/explore/cultural_images/bauzi_card.webp,True,
bavarians,Bavarians,Europe,ready,high,True,/cultural_images/bavarians_card.webp,/cultural_images/bavarians_card.webp,website-astro/public/cultural_images/bavarians_card.webp,https://www.culturesherpa.org/explore/cultural_images/bavarians_card.webp,True,
bazigar,Bazigar,South Asia,ready,high,True,/cultural_images/bazigar_card.webp,/cultural_images/bazigar_card.webp,website-astro/public/cultural_images/bazigar_card.webp,https://www.culturesherpa.org/explore/cultural_images/bazigar_card.webp,True,
beja,Beja,Northeastern Africa,ready,high,True,/cultural_images/beja_card.webp,/cultural_images/beja_card.webp,website-astro/public/cultural_images/beja_card.webp,https://www.culturesherpa.org/explore/cultural_images/beja_card.webp,True,
belarus,Belarus,Eastern Europe,ready,high,True,/cultural_images/belarus_card.webp,/cultural_images/belarus_card.webp,website-astro/public/cultural_images/belarus_card.webp,https://www.culturesherpa.org/explore/cultural_images/belarus_card.webp,True,
belgian,Belgian,Western Europe,ready,high,True,/cultural_images/belgian_card.webp,/cultural_images/belgian_card.webp,website-astro/public/cultural_images/belgian_card.webp,https://www.culturesherpa.org/explore/cultural_images/belgian_card.webp,True,
belize,Belize,Central America,ready,high,True,/cultural_images/belize_card.webp,/cultural_images/belize_card.webp,website-astro/public/cultural_images/belize_card.webp,https://www.culturesherpa.org/explore/cultural_images/belize_card.webp,True,
beninese,Beninese,West Africa,ready,high,True,/cultural_images/beninese_card.webp,/cultural_images/beninese_card.webp,website-astro/public/cultural_images/beninese_card.webp,https://www.culturesherpa.org/explore/cultural_images/beninese_card.webp,True,
berbers,Berbers,North Africa,ready,high,True,/cultural_images/berbers_card.webp,/cultural_images/berbers_card.webp,website-astro/public/cultural_images/berbers_card.webp,https://www.culturesherpa.org/explore/cultural_images/berbers_card.webp,True,
berom,Berom,"Plateau State, Nigeria",ready,high,True,/cultural_images/berom_card.webp,/cultural_images/berom_card.webp,website-astro/public/cultural_images/berom_card.webp,https://www.culturesherpa.org/explore/cultural_images/berom_card.webp,True,
bhumij,Bhumij,South Asia,probable-match,medium,False,/cultural_images/bhumij_card.webp,/cultural_images/bhumij_card.webp,,https://www.culturesherpa.org/explore/cultural_images/bhumij_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
bhutanese,Bhutanese,South Asia,ready,high,True,/cultural_images/bhutanese_card.webp,/cultural_images/bhutanese_card.webp,website-astro/public/cultural_images/bhutanese_card.webp,https://www.culturesherpa.org/explore/cultural_images/bhutanese_card.webp,True,
bidayuh,Bidayuh,Southeast Asia,probable-match,medium,False,/cultural_images/bidayuh_card.webp,/cultural_images/bidayuh_card.webp,,https://www.culturesherpa.org/explore/cultural_images/bidayuh_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
bodo,Bodo,"Assam, India",ready,high,True,/cultural_images/bodo_card.webp,/cultural_images/bodo_card.webp,website-astro/public/cultural_images/bodo_card.webp,https://www.culturesherpa.org/explore/cultural_images/bodo_card.webp,True,
boeroes,Boeroes,Suriname,ready,high,True,/cultural_images/boeroes_card.webp,/cultural_images/boeroes_card.webp,website-astro/public/cultural_images/boeroes_card.webp,https://www.culturesherpa.org/explore/cultural_images/boeroes_card.webp,True,
boers,Boers,"Southern Africa, primarily South Africa",ready,high,True,/cultural_images/boers_card.webp,/cultural_images/boers_card.webp,website-astro/public/cultural_images/boers_card.webp,https://www.culturesherpa.org/explore/cultural_images/boers_card.webp,True,
bokota,Bokota,"Bocas del Toro, Panama",ready,high,True,/cultural_images/bokota_card.webp,/cultural_images/bokota_card.webp,website-astro/public/cultural_images/bokota_card.webp,https://www.culturesherpa.org/explore/cultural_images/bokota_card.webp,True,
bolivian,Bolivian,South America,ready,high,True,/cultural_images/bolivian_card.webp,/cultural_images/bolivian_card.webp,website-astro/public/cultural_images/bolivian_card.webp,https://www.culturesherpa.org/explore/cultural_images/bolivian_card.webp,True,
bondei,Bondei,"Tanga Region, Tanzania",ready,high,True,/cultural_images/bondei_card.webp,/cultural_images/bondei_card.webp,website-astro/public/cultural_images/bondei_card.webp,https://www.culturesherpa.org/explore/cultural_images/bondei_card.webp,True,
bororo,Bororo,"Central Brazil, Mato Grosso",ready,high,True,/cultural_images/bororo_card.webp,/cultural_images/bororo_card.webp,website-astro/public/cultural_images/bororo_card.webp,https://www.culturesherpa.org/explore/cultural_images/bororo_card.webp,True,
bosnia_and_herzegovina,Bosnia And Herz,Southeast Europe,ready,high,True,/cultural_images/bosnia_and_herzegovina_card.webp,/cultural_images/bosnia_and_herzegovina_card.webp|/cultural_images/bosnia_and_herz_card.webp,website-astro/public/cultural_images/bosnia_and_herzegovina_card.webp,https://www.culturesherpa.org/explore/cultural_images/bosnia_and_herzegovina_card.webp,True,
botswanan,Botswanan,Southern Africa,ready,high,True,/cultural_images/botswanan_card.webp,/cultural_images/botswanan_card.webp,website-astro/public/cultural_images/botswanan_card.webp,https://www.culturesherpa.org/explore/cultural_images/botswanan_card.webp,True,
brahui,Brahui,South Asia,probable-match,medium,False,/cultural_images/brahui_card.webp,/cultural_images/brahui_card.webp,,https://www.culturesherpa.org/explore/cultural_images/brahui_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
brazilian,Brazilian,South America,ready,high,True,/cultural_images/brazilian_card.webp,/cultural_images/brazilian_card.webp,website-astro/public/cultural_images/brazilian_card.webp,https://www.culturesherpa.org/explore/cultural_images/brazilian_card.webp,True,
brazilian_diaspora,Brazilian Diaspora,Global,probable-match,medium,False,/cultural_images/brazilian_diaspora_card.webp,/cultural_images/brazilian_diaspora_card.webp,,https://www.culturesherpa.org/explore/cultural_images/brazilian_diaspora_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
breton,Breton,"Brittany, France",probable-match,medium,False,/cultural_images/breton_card.webp,/cultural_images/breton_card.webp,,https://www.culturesherpa.org/explore/cultural_images/breton_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
british,British,United Kingdom,ready,high,True,/cultural_images/british_card.webp,/cultural_images/british_card.webp,website-astro/public/cultural_images/british_card.webp,https://www.culturesherpa.org/explore/cultural_images/british_card.webp,True,
british_caribbean,British Caribbean,United Kingdom and Caribbean Islands,probable-match,medium,False,/cultural_images/british_caribbean_card.webp,/cultural_images/british_caribbean_card.webp,,https://www.culturesherpa.org/explore/cultural_images/british_caribbean_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
british_south_asian,British South Asian,United Kingdom,probable-match,medium,False,/cultural_images/british_south_asian_card.webp,/cultural_images/british_south_asian_card.webp,,https://www.culturesherpa.org/explore/cultural_images/british_south_asian_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
british_west_african,British West African,West Africa,probable-match,medium,False,/cultural_images/british_west_african_card.webp,/cultural_images/british_west_african_card.webp,,https://www.culturesherpa.org/explore/cultural_images/british_west_african_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
brunei,Brunei,Southeast Asia,ready,high,True,/cultural_images/brunei_card.webp,/cultural_images/brunei_card.webp,website-astro/public/cultural_images/brunei_card.webp,https://www.culturesherpa.org/explore/cultural_images/brunei_card.webp,True,
bulgarian,Bulgarian,Southeastern Europe,ready,high,True,/cultural_images/bulgarian_card.webp,/cultural_images/bulgarian_card.webp,website-astro/public/cultural_images/bulgarian_card.webp,https://www.culturesherpa.org/explore/cultural_images/bulgarian_card.webp,True,
burkinabe,Burkinabe,West Africa,ready,high,True,/cultural_images/burkinabe_card.webp,/cultural_images/burkinabe_card.webp,website-astro/public/cultural_images/burkinabe_card.webp,https://www.culturesherpa.org/explore/cultural_images/burkinabe_card.webp,True,
burmese,Burmese,Southeast Asia,ready,high,True,/cultural_images/burmese_card.webp,/cultural_images/burmese_card.webp,website-astro/public/cultural_images/burmese_card.webp,https://www.culturesherpa.org/explore/cultural_images/burmese_card.webp,True,
burundian,Burundian,East Africa,ready,high,True,/cultural_images/burundian_card.webp,/cultural_images/burundian_card.webp,website-astro/public/cultural_images/burundian_card.webp,https://www.culturesherpa.org/explore/cultural_images/burundian_card.webp,True,
burusho,Burusho,South Asia,probable-match,medium,False,/cultural_images/burusho_card.webp,/cultural_images/burusho_card.webp,,https://www.culturesherpa.org/explore/cultural_images/burusho_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
buryats,Buryats,Siberia,ready,high,True,/cultural_images/buryats_card.webp,/cultural_images/buryats_card.webp,website-astro/public/cultural_images/buryats_card.webp,https://www.culturesherpa.org/explore/cultural_images/buryats_card.webp,True,
butonese,Butonese,"Southeast Sulawesi, Indonesia",ready,high,True,/cultural_images/butonese_card.webp,/cultural_images/butonese_card.webp,website-astro/public/cultural_images/butonese_card.webp,https://www.culturesherpa.org/explore/cultural_images/butonese_card.webp,True,
bwa,Bwa,West Africa,ready,high,True,/cultural_images/bwa_card.webp,/cultural_images/bwa_card.webp,website-astro/public/cultural_images/bwa_card.webp,https://www.culturesherpa.org/explore/cultural_images/bwa_card.webp,True,
bwatiye,Bwatiye,Central Africa,ready,high,True,/cultural_images/bwatiye_card.webp,/cultural_images/bwatiye_card.webp,website-astro/public/cultural_images/bwatiye_card.webp,https://www.culturesherpa.org/explore/cultural_images/bwatiye_card.webp,True,
cabiyari,Cabiyari,"Amazon rainforest, Vaupés, Colombia",ready,high,True,/cultural_images/cabiyari_card.webp,/cultural_images/cabiyari_card.webp,website-astro/public/cultural_images/cabiyari_card.webp,https://www.culturesherpa.org/explore/cultural_images/cabiyari_card.webp,True,
caddo,Caddo,North America,ready,high,True,/cultural_images/caddo_card.webp,/cultural_images/caddo_card.webp,website-astro/public/cultural_images/caddo_card.webp,https://www.culturesherpa.org/explore/cultural_images/caddo_card.webp,True,
cahuilla,Cahuilla,"Southern California, USA",ready,high,True,/cultural_images/cahuilla_card.webp,/cultural_images/cahuilla_card.webp,website-astro/public/cultural_images/cahuilla_card.webp,https://www.culturesherpa.org/explore/cultural_images/cahuilla_card.webp,True,
caldoche,Caldoche,"New Caledonia, South Pacific",ready,high,True,/cultural_images/caldoche_card.webp,/cultural_images/caldoche_card.webp,website-astro/public/cultural_images/caldoche_card.webp,https://www.culturesherpa.org/explore/cultural_images/caldoche_card.webp,True,
cambodian,Cambodian,Southeast Asia,ready,high,True,/cultural_images/cambodian_card.webp,/cultural_images/cambodian_card.webp,website-astro/public/cultural_images/cambodian_card.webp,https://www.culturesherpa.org/explore/cultural_images/cambodian_card.webp,True,
cambodian_american,Cambodian American,United States,probable-match,medium,False,/cultural_images/cambodian_american_card.webp,/cultural_images/cambodian_american_card.webp,,https://www.culturesherpa.org/explore/cultural_images/cambodian_american_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
cameroonian,Cameroonian,Central Africa,ready,high,True,/cultural_images/cameroonian_card.webp,/cultural_images/cameroonian_card.webp,website-astro/public/cultural_images/cameroonian_card.webp,https://www.culturesherpa.org/explore/cultural_images/cameroonian_card.webp,True,
camminanti,Camminanti,"Sicily, Italy",ready,high,True,/cultural_images/camminanti_card.webp,/cultural_images/camminanti_card.webp,website-astro/public/cultural_images/camminanti_card.webp,https://www.culturesherpa.org/explore/cultural_images/camminanti_card.webp,True,
canadian,Canadian,North America,ready,high,True,/cultural_images/canadian_card.webp,/cultural_images/canadian_card.webp,website-astro/public/cultural_images/canadian_card.webp,https://www.culturesherpa.org/explore/cultural_images/canadian_card.webp,True,
cape_malay,Cape Malay,"Western Cape, South Africa",probable-match,medium,False,/cultural_images/cape_malay_card.webp,/cultural_images/cape_malay_card.webp,,https://www.culturesherpa.org/explore/cultural_images/cape_malay_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
cayuga,Cayuga,North America,probable-match,medium,False,/cultural_images/cayuga_card.webp,/cultural_images/cayuga_card.webp,,https://www.culturesherpa.org/explore/cultural_images/cayuga_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
central_african_republic,Central African Rep,Central Africa,ready,high,True,/cultural_images/central_african_republic_card.webp,/cultural_images/central_african_republic_card.webp|/cultural_images/central_african_rep_card.webp,website-astro/public/cultural_images/central_african_republic_card.webp,https://www.culturesherpa.org/explore/cultural_images/central_african_republic_card.webp,True,
chadian,Chadian,Central Africa,ready,high,True,/cultural_images/chadian_card.webp,/cultural_images/chadian_card.webp,website-astro/public/cultural_images/chadian_card.webp,https://www.culturesherpa.org/explore/cultural_images/chadian_card.webp,True,
chamorro,Chamorro,Pacific Islands,probable-match,medium,False,/cultural_images/chamorro_card.webp,/cultural_images/chamorro_card.webp,,https://www.culturesherpa.org/explore/cultural_images/chamorro_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
cherokee,Cherokee,North America,ready,high,True,/cultural_images/cherokee_card.webp,/cultural_images/cherokee_card.webp,website-astro/public/cultural_images/cherokee_card.webp,https://www.culturesherpa.org/explore/cultural_images/cherokee_card.webp,True,
chicano,Chicano,North America,probable-match,medium,False,/cultural_images/chicano_card.webp,/cultural_images/chicano_card.webp,,https://www.culturesherpa.org/explore/cultural_images/chicano_card.webp,True,Index path absent from git and 404 on live explore CDN; R2 gfv-media not inventoried
